,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
UNITED STATES,ELLIS,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,4
UNITED STATES,GARVIN,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,4
UNITED STATES,KINGFISHER,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,5
UNITED STATES,LOVE,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,MAJOR,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,MCCLAIN,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,4
UNITED STATES,OKLAHOMA,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,STEPHENS,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,3
UNITED STATES,KENEDY,Other,No,Gas,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,LIBERTY,Other,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,MATAGORDA,Other,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,ANGELINA,Other,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,CHAMBERS,Other,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,BRAZOS,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,BURLESON,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,FAYETTE,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,LEE,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,MILAM,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,WASHINGTON,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,WOOD,Other,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,ANGELINA,Other,No,Gas,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,HANSFORD,Other,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,UINTAH,Other,No,Oil,Land,UTAH,Directional,2020,1,03-01-2020,1
UNITED STATES,DUCHESNE,Other,No,Oil,Land,UTAH,Horizontal,2020,1,03-01-2020,3
UNITED STATES,SUBLETTE,Other,No,Gas,Land,WYOMING,Directional,2020,1,03-01-2020,4
UNITED STATES,SUBLETTE,Other,No,Gas,Land,WYOMING,Horizontal,2020,1,03-01-2020,1
UNITED STATES,SWEETWATER,Other,No,Gas,Land,WYOMING,Horizontal,2020,1,03-01-2020,1
UNITED STATES,CAMPBELL,Other,No,Oil,Land,WYOMING,Horizontal,2020,1,03-01-2020,6
UNITED STATES,CONVERSE,Other,No,Oil,Land,WYOMING,Horizontal,2020,1,03-01-2020,10
UNITED STATES,CONVERSE,Other,No,Oil,Land,WYOMING,Vertical,2020,1,03-01-2020,2
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Gas,Offshore,LOUISIANA,Directional,2020,1,03-01-2020,1
UNITED STATES,EWING BANK,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,1,03-01-2020,2
UNITED STATES,GREEN CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,1,03-01-2020,7
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,1,03-01-2020,7
UNITED STATES,SOUTH TIMBALIER,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,1,03-01-2020,1
UNITED STATES,WALKER RIDGE,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2020,1,03-01-2020,1
UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,1,03-01-2020,1
